species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Brachodes albina,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",,,,,gap,,
Brachodes appendiculata,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",48.0,52.0,0.0,,,385955.0,
Brachodes beryti,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",1.0,2.0,0.0,,,469478.0,
Brachodes candefacta,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,,,,,gap,,
Brachodes cassandrella,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,,,,,gap,,
Brachodes compar,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",2.0,4.0,0.0,,,385980.0,
Brachodes diakona,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,,,,,gap,,
Brachodes dispar,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,4.0,16.0,0.0,,,385954.0,
Brachodes fallax,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,4.0,4.0,0.0,,,452246.0,
Brachodes flavescens,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",1.0,3.0,0.0,,,469477.0,
Brachodes fulgurita,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",1.0,1.0,0.0,,,469474.0,
Brachodes funebris,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",1.0,2.0,0.0,,,981196.0,
Brachodes gaditana,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",1.0,3.0,0.0,FD,,981236.0,469479.0
Brachodes laeta,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",,,,,gap,,
Brachodes lucida,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",,,,,gap,,
Brachodes nana,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",5.0,5.0,0.0,,,469481.0,
Brachodes powelli,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",0.0,1.0,0.0,,gap,452249.0,
Brachodes pumila,Arthropoda,Insecta,Lepidoptera,Brachodidae,"BOLD,FE,LF",14.0,16.0,0.0,,,385963.0,
Brachodes pusilla,Arthropoda,Insecta,Lepidoptera,Brachodidae,LF,7.0,34.0,0.0,,,385979.0,
Brachodes staudingeri,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",2.0,2.0,0.0,,,452244.0,
Brachodes tristis,Arthropoda,Insecta,Lepidoptera,Brachodidae,"FE,LF",,,,,gap,,
