species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Banghaasia ildefonsella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"FE,LF",,,,,gap,,
Cedestis civitatensis,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,LF",3.0,3.0,1.0,,,768522.0,
Cedestis gysseleniella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",29.0,35.0,1.0,,,198032.0,
Cedestis subfasciella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",39.0,42.0,1.0,,,197981.0,
Euhyponomeuta stannella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",7.0,8.0,1.0,,,286101.0,
Euhyponomeutoides albithoracellus,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",39.0,41.0,1.0,,,286113.0,
Euhyponomeutoides ribesiella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",9.0,10.0,1.0,,,286117.0,
Kessleria albanica,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",5.0,5.0,3.0,,,508717.0,
Kessleria albescens,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",4.0,4.0,1.0,,,324167.0,
Kessleria albomaculata,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",1.0,1.0,1.0,,,493009.0,
Kessleria alpicella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",13.0,15.0,3.0,,,352316.0,
Kessleria alpmaritimae,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,LF",6.0,6.0,1.0,,,674516.0,
Kessleria alternans,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",10.0,12.0,1.0,,,324161.0,
Kessleria apenninica,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,LF",4.0,4.0,1.0,,,674517.0,
Kessleria brachypterella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"FE,LF",,,,,gap,,
Kessleria brevicornuta,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,981249.0,
Kessleria burmanni,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",6.0,6.0,1.0,,,324164.0,
Kessleria caflischiella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",10.0,10.0,1.0,,,266524.0,
