"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.167012,21.449398
"2","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.166143,21.461498
"3","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.172064,21.463781
"4","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.173812,21.433808
"5","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.165987,21.395726
"6","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,58.114422,-4.954459
"7","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,58.146909,-4.948654
"8","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.752759,29.190376
"9","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.739393,29.012771
"10","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.789997,29.324145
"11","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,53.161847,-3.964587
"12","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,52.790377,-3.682335
"13","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.389037,27.352093
"14","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.762206,29.436701
"15","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,66.407252,24.567248
"16","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,53.009126,-4.011304
"17","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,62.328601,21.686739
"18","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.243904,24.699403
"19","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.675252,23.668987
"20","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.04307,20.804928
"21","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.196009,21.460082
"22","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.191709,21.46624
"23","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.166483,21.465075
"24","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.047436,20.801175
"25","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.197469,21.449587
"26","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.197388,21.447076
"27","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.438731,27.361637
"28","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,56.541204,-4.290638
"29","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.063249,21.348826
"30","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.160557,21.576217
"31","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.152456,21.32567
"32","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,66.176819,29.392959
"33","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.646816,24.509412
"34","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.284602,23.865709
"35","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.270612,23.861572
"36","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.799449,24.236948
"37","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.282994,23.875623
"38","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,66.444303,25.777839
"39","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,66.440002,25.780001
"40","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.35,18.78333
"41","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,51.919713,-2.946524
"42","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,51.925094,-2.89065
"43","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,51.925105,-2.889196
"44","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,54.69598,-2.366126
"45","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.709466,24.988556
"46","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.053238,23.999333
"47","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.101785,-3.710117
"48","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,55.498122,-3.323313
"49","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,53.114334,-4.010236
"50","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,53.075117,-4.016619
"51","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,53.168803,-4.058414
"52","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.2967,18.9268
"53","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.882083,-4.354202
"54","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.932499,-4.036575
"55","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.198918,-3.830474
"56","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.838137,-4.300791
"57","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.390164,-4.68869
"58","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.275537,-3.469371
"59","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,57.969469,-3.971042
"60","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.3333,18.85
"61","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,64.5,14.15
"62","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,68.54,44.3
"63","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,65.0231,25.404868
"64","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.619961,27.019303
"65","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.046036,20.850364
"66","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,67.959197,23.772557
"67","Alliopsis conifrons (Zetterstedt, 1845)","ACCEPTED",1573032,1573032,69.046036,20.850864
