"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Cerodontha pygmella (Hendel, 1931)","SYNONYM",4571487,1552553,60.221431,23.597959
"2","Cerodontha pygmella (Hendel, 1931)","SYNONYM",4571487,1552553,60.32646,23.653566
"3","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,49.967222,31.110556
"4","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,49.962222,31.118889
"5","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,60.497824,23.092762
"6","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,60.461586,22.374184
"7","Cerodontha pygmella (Hendel, 1931)","SYNONYM",4571487,1552553,61.41468,22.630348
"8","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,63.405,10.3827
"9","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,66.167508,29.172483
"10","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,66.232135,29.580573
"11","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,66.127121,29.297469
"12","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,66.295492,29.631329
"13","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,60.286894,24.826422
"14","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,60.217314,24.910433
"15","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,65.860583,24.164296
"16","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,61.088377,28.689988
"17","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,61.09,28.690001
"18","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,63.140749,27.937565
"19","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,51.115696,0.220263
"20","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,65.189197,28.10001
"21","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,53.449848,-1.323881
"22","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,51.569923,-4.143381
"23","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,66.342517,29.523978
"24","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,52.592409,-0.505285
"25","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,53.359025,-1.175062
"26","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,53.359969,-1.325304
"27","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,53.539726,-1.322451
"28","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,54.244273,-2.837821
"29","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,53.450605,-1.474448
"30","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,51.604121,-2.225202
"31","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,51.730176,-2.095515
"32","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,52.253523,-0.2486
"33","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,52.313555,0.289265
"34","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,52.306538,0.280101
"35","Cerodontha pygmaea (Meigen, 1830)","ACCEPTED",1552553,1552553,52.311758,0.289172
