"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,36.817818,-2.248979
"2","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,36.81783,-2.249073
"3","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,42.3814,8.7541
"4","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,37.300531,-7.550847
"5","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,43.99574,7.54872
"6","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,43.99467,7.5453
"7","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,37.3181,44.1892
"8","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,49.448952,11.082087
"9","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,49.948893,10.915437
"10","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,49.448952,10.915443
"11","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,49.148984,11.248732
"12","Stichopogon schineri Koch, 1872","SYNONYM",1663800,11167863,49.248976,11.415374
