"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,47.049526,15.49025
"2","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.4,6
"3","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.45,6.5
"4","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.05,4.45
"5","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,50.9,5.85
"6","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,50.795088,-3.409591
"7","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,49.10755,2.23444
"8","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,49.11637,2.23959
"9","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52,5.5
"10","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.358401,-2.522695
"11","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.360626,-2.527861
"12","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.280001,-2.869264
"13","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.618448,-2.569362
"14","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.9625,-2.744158
"15","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.599616,-2.540943
"16","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.618926,-2.543522
"17","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.183434,-1.549478
"18","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,55.949341,-3.130485
"19","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.251871,-0.543392
"20","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.626316,-1.58567
"21","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.941889,-2.98336
"22","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.922033,-3.186507
"23","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.906051,-2.968041
"24","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.919713,-2.946524
"25","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.90562,-2.965852
"26","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.942356,-2.981189
"27","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.919779,-3.187175
"28","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.941469,-2.979714
"29","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.90381,-2.967266
"30","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.618894,-2.570107
"31","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.617549,-2.569351
"32","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,52.156904,-1.559243
"33","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.733844,-3.521882
"34","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.272927,0.09424
"35","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.942695,-2.881542
"36","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.448047,-1.10202
"37","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.924606,-2.89573
"38","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,55.599152,-4.65609
"39","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.926903,-2.889231
"40","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,55.82766,-4.164676
"41","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.942368,-2.979734
"42","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.603996,-2.282957
"43","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.256554,-1.003753
"44","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,55.172253,-1.6326
"45","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.867616,-2.708614
"46","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.876692,-2.693557
"47","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.868806,-2.465312
"48","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.234639,-1.073321
"49","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.589675,-0.422731
"50","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.422825,-2.995584
"51","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.194583,-0.49872
"52","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.216591,-0.462208
"53","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.250574,-0.317781
"54","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.407789,-3.345681
"55","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.410045,-3.345028
"56","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.432631,-1.548262
"57","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.395724,-1.271935
"58","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.403049,-1.293383
"59","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.082742,-1.865753
"60","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.259356,-0.303129
"61","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,51.405158,-1.433521
"62","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.541619,-2.07692
"63","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.815199,-2.373589
"64","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.510143,-2.099481
"65","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.169593,-2.537612
"66","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.080307,-2.383609
"67","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.901143,-1.92539
"68","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.86071,-1.948268
"69","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,50.704807,-2.277506
"70","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,54.111834,-2.360956
"71","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.271778,-1.776539
"72","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.810692,-1.621822
"73","Dicranomyia ornata (Meigen, 1818)","ACCEPTED",4519066,4519066,53.567346,-0.12154
