"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,70.081882,25.185081
"2","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.555123,23.51802
"3","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,70.194614,24.918838
"4","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.579003,23.544764
"5","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.749618,25.808396
"6","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.841996,27.856926
"7","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.647787,28.340404
"8","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.924257,22.123261
"9","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.812389,26.011411
"10","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.888115,27.011102
"11","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.273387,27.231721
"12","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.446036,27.433364
"13","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.265181,23.958086
"14","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.820567,25.919277
"15","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.636919,22.538112
"16","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.663548,22.728064
"17","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.822686,26.028395
"18","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.625888,22.742536
"19","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.639168,22.55181
"20","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.626972,22.785994
"21","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.649609,25.743219
"22","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.596924,22.665097
"23","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.660471,22.637734
"24","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,66.999819,27.152057
"25","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,67.787098,24.642789
"26","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,66.99338,27.05908
"27","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.751441,27.879563
"28","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.020527,25.06408
"29","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.332389,24.810422
"30","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.062594,20.71042
"31","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.413655,27.244038
"32","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.745838,27.822148
"33","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.146105,27.126214
"34","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.861729,27.774851
"35","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.860521,27.770202
"36","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.707262,27.920114
"37","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.334508,24.617541
"38","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.44823,22.581687
"39","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.840422,27.772586
"40","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.21287,27.23212
"41","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.849076,27.840509
"42","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,66.370483,29.488575
"43","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,69.871116,27.90674
"44","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,68.671636,28.31336
"45","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,38.72012,-27.25595
"46","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,38.72464,-27.25021
"47","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,39.44572,-31.22084
"48","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,38.72013,-27.2502
"49","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,38.72463,-27.25596
"50","Dixella laeta (Loew, 1849)","ACCEPTED",5077141,5077141,39.45021,-31.22112
