"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,51.826351,-3.070689
"2","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.483342,-2.700881
"3","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.492243,-2.715751
"4","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.462612,-5.286406
"5","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,58.114422,-4.954459
"6","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.96176,15.94869
"7","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.663578,-2.703023
"8","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.924057,-2.663356
"9","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,62.57077,15.83403
"10","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.222362,-4.001811
"11","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.810635,-3.105967
"12","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.183221,-4.459474
"13","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.435862,-2.587598
"14","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.8291,-4.075713
"15","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,58.475589,-4.43555
"16","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,51.95,4.35
"17","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,51.5,4.25
"18","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.27457,-4.250228
"19","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.566838,-2.789995
"20","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.1,4.3
"21","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.223722,-4.001125
"22","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.299479,-4.167495
"23","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.639987,-2.871115
"24","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.216145,-2.920646
"25","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.21638,-2.888403
"26","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.6,4.65
"27","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.183252,-4.457979
"28","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.646,-2.540899
"29","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,57.830241,-3.997959
"30","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,55.59231,13.90501
"31","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.273092,-3.540289
"32","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.83896,-1.392786
"33","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.573733,-2.952434
"34","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.159324,-4.396774
"35","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.81499,-3.120916
"36","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,55.75109,14.17649
"37","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,55.73378,14.18823
"38","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,55.75798,14.13089
"39","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,55.73161,14.19394
"40","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.096787,-3.242234
"41","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.366433,-3.249786
"42","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,52.367895,-3.102951
"43","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,57.658334,-4.306155
"44","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,53.136018,-4.370807
"45","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,51.476039,-3.635682
"46","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.308578,-4.331658
"47","Empis punctata Meigen, 1804","ACCEPTED",1583362,1583362,56.872975,-3.355917
