"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75,-25.64
"2","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.76,-25.68
"3","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,39.44,-31.14
"4","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,39.47,-31.14
"5","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,39.51354,-31.21333
"6","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.61703,-27.99647
"7","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.79236,-27.1756
"8","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.7524,-25.61228
"9","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.59934,-27.95603
"10","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.77885,-27.16981
"11","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.60772,-28.03079
"12","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.78787,-27.16983
"13","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.76213,-25.67453
"14","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.78335,-27.17558
"15","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.61668,-28.03666
"16","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75273,-25.64065
"17","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.65713,-27.20975
"18","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.81003,-25.20793
"19","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.66612,-27.22127
"20","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.65712,-27.2155
"21","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.60321,-28.03073
"22","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.56839,-27.88101
"23","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.60802,-27.99634
"24","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.59929,-27.96177
"25","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.60326,-28.02499
"26","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.61698,-28.00221
"27","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.76193,-25.65751
"28","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,39.45251,-31.15736
"29","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.82781,-25.51428
"30","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.76663,-25.67445
"31","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75736,-25.65191
"32","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.66609,-27.23851
"33","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,39.46171,-31.1521
"34","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.61242,-28.00789
"35","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.61663,-28.04241
"36","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.66163,-27.21551
"37","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.74789,-25.61236
"38","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.66157,-27.24425
"39","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.7573,-25.64624
"40","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75299,-25.66334
"41","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75279,-25.64632
"42","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.66611,-27.22702
"43","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,38.78334,-27.18134
"44","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75723,-25.64056
"45","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.75762,-25.67461
"46","Ensina azorica Frey, 1945","ACCEPTED",1629010,1629010,37.7526,-25.6293
