"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.87235,17.6158
"2","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,52.75,6.5
"3","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,49.021669,13.007046
"4","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.41412,18.04021
"5","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,56.46522,15.81995
"6","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.54916,16.63842
"7","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,62.69382,17.40948
"8","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,66.01099,21.73797
"9","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.55747,15.01712
"10","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,57.76162,11.95637
"11","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,49.243873,12.882661
"12","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,54.953666,25.664081
"13","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.24138,18.24155
"14","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,65.88023,21.67478
"15","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,66.01208,21.10421
"16","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,65.74675,21.51513
"17","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,60.5396,14.35806
"18","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,50.578196,29.941262
"19","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,50.730213,18.891647
"20","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,59.49313,18.1354
"21","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,61.41285,15.1513
"22","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,56.867581,9.403758
"23","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,56.091394,12.489661
"24","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,62.4918,17.53122
"25","Harmandiola globuli (Rübsaamen, 1889)","ACCEPTED",1597304,1597304,56.44696,15.80899
