"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.746319,1.215233
"2","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.723547,1.482408
"3","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.617199,1.4701
"4","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.604437,1.456526
"5","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,58.995637,9.199135
"6","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,51.48743,0.227473
"7","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,59.427873,8.086895
"8","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.273624,13.789871
"9","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,51.26729,1.382412
"10","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,42.93759,-0.65156
"11","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,42.9416,-0.67905
"12","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,50.947044,6.32113
"13","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,50.901085,9.594498
"14","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,51.834239,0.971589
"15","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,58.21689,11.6955
"16","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,49.92601,4.15291
"17","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,47.63208,21.082764
"18","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,50.803802,8.788633
"19","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,51.687107,6.960416
"20","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,50.739334,8.296707
"21","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,51.372246,0.777959
"22","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,61.8859,11.7828
"23","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,43.49126,4.8229
"24","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,43.54676,4.66195
"25","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,49.38581,2.99988
"26","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,46.34214,-1.35639
"27","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,49.42289,1.74043
"28","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,59.472072,10.696168
"29","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,52.245705,1.616846
"30","Hybomitra ciureai (Séguy, 1937)","ACCEPTED",1500237,1500237,46.78725,6.26856
