"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,50.369208,-5.136538
"2","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,63.96948,15.82784
"3","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,65.23348,20.41387
"4","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,65.10969,20.79003
"5","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,63.7779,20.2833
"6","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,52.547661,-3.107454
"7","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,61.86053,6.34012
"8","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,67.762206,29.436701
"9","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,68.257684,27.842397
"10","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,64.993734,29.301732
"11","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,52.245705,1.616846
"12","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,69.509243,28.403213
"13","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,69.869594,28.166953
"14","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,69.688469,28.415059
"15","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,69.507001,28.658974
"16","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,61.620954,27.656713
"17","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,64.36353,19.52745
"18","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,67.761886,29.446095
"19","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,60.351696,25.19718
"20","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,61.670611,9.702874
"21","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,64.659315,27.979159
"22","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,42.47816,3.02395
"23","Verrallia pilosa (Zetterstedt)","SYNONYM",4295279,1647761,67.583179,24.236387
"24","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,46.74778,-70.995
"25","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,62.500662,7.659925
"26","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,51.049999,13.46
"27","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,51.080002,13.77
"28","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,59.437807,17.829434
"29","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,53.306278,-3.255308
"30","Jassidophaga pilosa (Zetterstedt, 1838)","ACCEPTED",1647761,1647761,59.429,17.726
