"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,56.921656,16.101228
"2","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,56.936536,15.920167
"3","Megaselia manicatella (Lundbeck, 1920)","SYNONYM",11293306,1546628,56.931407,16.085536
"4","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.73435,17.720417
"5","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,56.027217,13.223433
"6","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,67.051717,20.3859
"7","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,57.00655,16.10935
"8","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,64.1545,19.593183
"9","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.1783,18.229433
"10","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.17844,18.31086
"11","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.1834,18.3169
"12","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.1667,18.2331
"13","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.16995,18.31863
"14","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.1764,18.2228
"15","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,59.1761,18.2881
"16","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,61.164673,28.576206
"17","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,61.164669,28.576206
"18","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,60.167438,24.745003
"19","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,60.167438,24.745248
"20","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,54.92388,12.04154
"21","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,67.869681,23.784508
"22","Megaselia subcarpalis (Lundbeck, 1920)","ACCEPTED",1546628,1546628,67.869681,23.784962
