"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,62.27,33.97
"2","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,66.52,16.33
"3","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,67.98,24.08
"4","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,45.55,-74
"5","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,61.57,29.57
"6","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,65.77,27.73
"7","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,62.77,8.13
"8","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,65.68,29.07
"9","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,65.7,27.48
"10","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,63.133333,30.616667
"11","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,63,31.383333
"12","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,64.23,30.38
"13","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,63.77,29.88
"14","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,62.866667,25.433333
"15","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,64.17,30.32
"16","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,59.37016,10.43684
"17","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,59.178967,18.3105
"18","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,59.1834,18.3169
"19","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,67.4095,21.4256
"20","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,66.35362,20.68314
"21","Peromyia muscorum (Kieffer, 1895)","ACCEPTED",1597137,1597137,59.8834,17.19305
