"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,60.496268,23.08876
"2","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,60.499395,23.097309
"3","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,66.283941,29.648287
"4","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,67.752759,29.190376
"5","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,59.992711,23.652252
"6","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,69.196009,21.460082
"7","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,69.197469,21.449587
"8","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,69.197388,21.447076
"9","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,60.462292,22.375084
"10","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,62.8044,27.583778
"11","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,62.997981,31.26226
"12","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,60.167828,20.027326
"13","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,62.606626,21.224141
"14","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,66.51907,25.706714
"15","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,59.1775,18.3267
"16","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,33.39,-105.78
"17","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,53.97,-114.11
"18","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,48.48,-121.08
"19","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,53.57,-113.42
"20","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,57.097644,-3.990558
"21","Phora praepandens Schmitz, 1927","ACCEPTED",1545286,1545286,61.028,24.448
