"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.76657,-25.31683
"2","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.7755,-25.31096
"3","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.75775,-25.68596
"4","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.76649,-25.31116
"5","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.78,-25.31085
"6","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.76641,-25.30549
"7","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.78009,-25.31653
"8","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77108,-25.31673
"9","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77542,-25.30528
"10","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.76665,-25.32251
"11","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77099,-25.31106
"12","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77116,-25.32241
"13","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.75768,-25.68029
"14","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.78017,-25.3222
"15","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77558,-25.31663
"16","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77992,-25.30518
"17","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77566,-25.32231
"18","Rachispoda acrosticalis (Becker, 1903)","ACCEPTED",4514510,4514510,37.77091,-25.30538
