"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.715094,29.797302
"2","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.605451,29.814742
"3","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,60.675453,26.765805
"4","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,61.394649,21.964105
"5","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,61.394833,21.962032
"6","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,68.483637,22.370146
"7","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,60.697752,26.814708
"8","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.597898,29.773059
"9","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.599308,29.769411
"10","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.599307,29.773989
"11","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.5099,7.7611
"12","Robackia pilicauda Saether, 1977","ACCEPTED",1447947,1447947,62.5197,7.751
