"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,53,6.65
"2","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,50.580235,29.785275
"3","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,52.25,5.6
"4","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,58.725164,9.165951
"5","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,59.40609,17.63628
"6","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,52.65,4.65
"7","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,51.4,5.85
"8","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,58.966631,9.254462
"9","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,52,4.35
"10","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,59.453331,10.741704
"11","Winthemia bohemani (Zetterstedt, 1844)","ACCEPTED",1461121,1461121,63.85942,20.08804
