"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.046758,-16.57253
"2","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.28368,-16.56036
"3","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.21084,-16.62328
"4","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.312189,-16.59973
"5","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.28195,-16.5534
"6","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.232821,-16.60364
"7","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.252939,-16.70097
"8","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.23296,-16.660089
"9","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.210501,-16.68124
"10","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.308519,-16.60498
"11","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.2239,-16.687099
"12","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.256149,-16.69664
"13","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.264339,-16.585661
"14","Alucita canariensis Scholz & Jäckh, 1994","ACCEPTED",1992451,1992451,28.262119,-16.55117
