"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,34.325917,126.676361
"2","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,34.346472,126.672794
"3","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.661333,127.755222
"4","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.580361,127.552111
"5","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.405694,127.444
"6","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.564167,127.726806
"7","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,37.43983,127.449172
"8","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,33.457253,126.337266
"9","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,37.812364,127.256889
"10","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,40.0396,139.9239
"11","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,35.529931,127.961586
"12","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,37.6285,126.6435
"13","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.789972,126.4495
"14","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,38.155361,127.455778
"15","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,36.940167,126.448556
"16","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,37.853278,126.848583
"17","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,33.410222,126.804361
"18","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,33.527056,126.717861
"19","Apotomis geminata (Walsingham, 1900)","ACCEPTED",1744732,1744732,33.535361,126.722944
