"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,48.652563,-123.736443
"2","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,48.526241,-123.510315
"3","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,48.525467,-123.509621
"4","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,48.525056,-123.509222
"5","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,63.72828,11.286712
"6","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,63.004907,28.052631
"7","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,63.019003,21.511819
"8","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.514469,24.023301
"9","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.715008,29.393258
"10","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,63.365513,23.518014
"11","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,60.660534,27.884467
"12","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,59.059878,6.191656
"13","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,55.78101,13.7836
"14","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,59.52863,14.26569
"15","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,56.30351,12.78039
"16","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.54872,16.3815
"17","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,56.2045,15.13025
"18","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,56.77238,14.61259
"19","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,55.66074,13.53331
"20","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,55.78361,13.80656
"21","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,56.56525,13.16446
"22","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,56.58762,12.93994
"23","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,55.63682,13.57673
"24","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,63.83044,20.30306
"25","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.15199,22.119225
"26","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,58.153408,8.010367
"27","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,59.16299,15.17477
"28","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.231997,21.518683
"29","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,61.548828,21.64192
"30","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,58.409311,8.147558
"31","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,55.7057,13.45112
"32","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,62.986965,28.051986
"33","Eriocrania semipurpurella Stephens, 1835","ACCEPTED",1731826,1731826,62.921721,27.633349
