"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,41.250597,-0.042438
"2","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,42.410338,-1.577129
"3","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.098014,-3.549898
"4","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.93,-0.95
"5","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,42.542403,-2.622984
"6","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.098166,-3.549956
"7","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,43.03116,1.90653
"8","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.99,-1.24
"9","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,43.32975,2.8713
"10","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.93,-1.01
"11","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,37.86,-1.47
"12","Evergestis marionalis Leraut, 2003","ACCEPTED",4532027,4532027,42.59686,2.36037
