"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,36.795736,-4.571973
"2","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.231613,-8.381288
"3","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.179913,-8.457255
"4","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,36.781692,-3.110274
"5","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.652616,5.996722
"6","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,36.781684,-3.110248
"7","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,38.562965,-8.920493
"8","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.75,-1.86
"9","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.662482,3.529484
"10","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.89,-0.96
"11","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.93,-0.98
"12","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.91,-1.05
"13","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.93,-0.95
"14","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,36.781957,-3.115462
"15","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.95,-1
"16","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,38.17,-1.1
"17","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.23818,-7.06682
"18","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.34062,-7.27892
"19","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.69332,5.8839
"20","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.89,-1.21
"21","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.53624,4.82433
"22","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.58121,4.82576
"23","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.291262,-7.549023
"24","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,42.83426,2.9309
"25","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,39.73999,-7.4828
"26","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,39.70171,-7.32035
"27","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,42.85056,2.91746
"28","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.385684,-7.203693
"29","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.345691,-7.279637
"30","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.289903,-7.375793
"31","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.28799,-7.37584
"32","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,41.38455,-7.20601
"33","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,37.1768,-7.95236
"34","Metasia ibericalis Ragonot, 1894","ACCEPTED",1881418,1881418,43.612,4.85637
