"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.738057,1.216005
"2","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.551324,1.71663
"3","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.93713,0.13995
"4","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.75433,0.00856
"5","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.45479,2.10849
"6","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.46956,2.36405
"7","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.45172,2.29418
"8","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.43988,2.38593
"9","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.50596,2.41959
"10","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.49343,2.4534
"11","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.85222,-0.1268
"12","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.94062,-0.6769
"13","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.79044,0.0351
"14","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.5343,2.46477
"15","Hepialus pyrenaicus Donzel, 1838","SYNONYM",1828663,8195886,42.44778,2.09413
"16","Hepialus pyrenaicus Donzel, 1838","SYNONYM",1828663,8195886,42.52864,2.11807
"17","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.621,1.593
"18","Pharmacis pyrenaicus (Donzel, 1838)","ACCEPTED",8195886,8195886,42.531,1.594
