species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Asteia (Asteia) algeriensis,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Asteia (Asteia) amoena,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",95.0,96.0,1.0,,,676243.0
Asteia (Asteia) beata,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,SyDip",51.0,51.0,2.0,,,530688.0
Asteia (Asteia) caesia,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Asteia (Asteia) concinna,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",13.0,14.0,1.0,,,510679.0
Asteia (Asteia) decepta,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Asteia (Asteia) elegantula,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,495136.0
Asteia (Asteia) ibizana,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,SyDip,gap,
Asteia (Asteia) inanis,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Asteia (Subanarista) mahunkai,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Astiosoma rufifrons,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Leiomyza birkheadi,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,SyDip",1.0,1.0,0.0,,,783402.0
Leiomyza curvinervis,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",150.0,157.0,2.0,,,350409.0
Leiomyza dudai,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",6.0,6.0,1.0,,,510680.0
Leiomyza laevigata,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",0.0,1.0,0.0,,gap,598095.0
Leiomyza scatophagina,Arthropoda,Insecta,Diptera,Asteiidae,"BOLD,FE,SyDip",0.0,2.0,0.0,,gap,510681.0
Phlebosotera longilineata,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Phlebosotera maeandrica,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Phlebosotera maspalomasi,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
Phlebosotera mollis,Arthropoda,Insecta,Diptera,Asteiidae,"FE,SyDip",,,,,gap,
