species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Andrena aberrans,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",1,2,1,,,501979,,,
Andrena abrupta,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,694702,,,
Andrena aciculata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,501981,,,
Andrena acuta,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,2,33,0,,,1121515,,,
Andrena aegyptiaca,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",4,7,0,,,191424,,,
Andrena aeneiventris,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",7,14,1,,,694712,,,
Andrena aerinifrons,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",5,10,1,,,694713,,,
Andrena afrensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,5,0,,,694716,,,
Andrena agilissima,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",13,53,2,,,250356,,,
Andrena albopunctata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,9,0,,,247051,,,
Andrena alfkenella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",21,30,1,,,265291,,,
Andrena allosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,14,1,,,449146,,,
Andrena alluaudi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,4,0,,,260634,,,
Andrena alutacea,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,3,31,1,,,198490,,,
Andrena alutaceae,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,2,2,0,,,1137881,,,
Andrena amieti,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,24,51,2,,,899641,,,
Andrena ampla,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,21,73,1,,,198489,,,
Andrena angustior,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",23,30,1,,,250357,,,
Andrena anthrisci,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",1,8,0,,,293492,,,
Andrena antigana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,694746,,,
Andrena apicata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",13,54,1,,,250358,250359.0,,
Andrena argentata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",20,40,0,,,214076,,,
Andrena assimilis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,10,0,,,694760,,,
Andrena avara,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,7,2,,,694769,987834.0,,
Andrena baetica,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,2,2,0,,,1129835,,,
Andrena barbareae,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",1,15,1,,,198497,,,
Andrena barbilabris,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",75,112,3,,,85474,,,
Andrena bayona,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,4,0,,,694779,,,
Andrena bellidis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,3,0,,,694781,,,
Andrena benoisti,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,2,5,1,,,1073944,,,
Andrena bicolor,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",25,110,1,ITIS,,198487,198491.0,,
Andrena bimaculata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",20,53,2,,,250360,216714.0,250386.0,250361.0
Andrena blanda,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,694803,,,
Andrena brumaniensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,2,0,,gap,1129832,,,
Andrena bucephala,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",9,15,1,,,250362,,,
Andrena carantonica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",24,56,2,,,214081,327873.0,,
Andrena carbonaria,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,2,0,,gap,462101,,,
Andrena catula,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,14,0,,,1121517,,,
Andrena chalcogastra,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,0,,,694840,,,
Andrena chrysopus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,3,1,,,250363,,,
Andrena chrysosceles,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",9,34,2,,,216709,,,
Andrena cineraria,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",33,98,2,,,198496,501997.0,,
Andrena cinerea,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",9,9,0,,,694851,,,
Andrena clarkella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",114,221,6,,,156021,,,
Andrena coitana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",15,31,1,,,250365,,,
Andrena colletiformis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,11,1,,,694858,,,
Andrena combaella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,1,1,,,694862,,,
Andrena combinata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",14,24,1,,,250366,,,
Andrena confinis,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,11,14,1,,,250367,,,
Andrena congruens,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,15,2,,,250368,,,
Andrena contracta,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,3,3,1,,,1129845,,,
Andrena corax,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,1,,,694869,,,
Andrena corssubalpina,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,1,0,,,694871,,,
Andrena curtula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,9,0,,,510453,265293.0,,
Andrena curvana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,608462,,,
Andrena curvungula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",5,34,1,,,250369,,,
Andrena decipiens,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",1,17,0,,,250370,,,
Andrena denticulata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",21,31,1,,,214077,,,
Andrena discors,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,3,0,,,260635,,,
Andrena distinguenda,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,16,1,,,250371,,,
Andrena djelfensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,6,0,,,694901,,,
