species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Aegilips atricornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",0.0,3.0,0.0,,gap,733501.0
Aegilips curvipes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aegilips nitidula,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",2.0,4.0,0.0,,,646936.0
Aegilips punctulata,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Aegilips romseyensis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",6.0,11.0,2.0,,,733502.0
Aegilips vena,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",10.0,11.0,0.0,,,710497.0
Aganaspis daci,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta abdera,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta afer,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta albosignata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta aperta,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta aphidicida,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta apteroidea,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",2.0,2.0,1.0,,,668700.0
Alloxysta arcuata,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,13.0,30.0,5.0,,,744884.0
Alloxysta basimacula,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,94.0,94.0,6.0,,,744886.0
Alloxysta brachycera,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",3.0,3.0,1.0,,,751096.0
Alloxysta brachyptera,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",8.0,8.0,5.0,,,668701.0
Alloxysta brevicella,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta brevicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta brevis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",288.0,306.0,11.0,,,646930.0
Alloxysta brevitarsis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta cabrerai,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta casatanea,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,1.0,1.0,1.0,,,1142215.0
Alloxysta castanea,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,177.0,213.0,34.0,,,744883.0
Alloxysta cincta,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta circumscripta,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",3.0,4.0,1.0,,,668697.0
Alloxysta citripes,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",26.0,27.0,10.0,,,744881.0
Alloxysta consobrina,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",38.0,46.0,9.0,,,751091.0
Alloxysta crassicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta cursor,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,1.0,1.0,,,668705.0
Alloxysta curta,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,11.0,11.0,3.0,,,784210.0
Alloxysta discreta,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta femoralis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta flaviceps,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta flavicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta fracticornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",5.0,9.0,3.0,,,751093.0
Alloxysta fulviceps,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",11.0,12.0,2.0,,,646941.0
Alloxysta fusca,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta fuscicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta fuscipes,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",29.0,31.0,2.0,,,751098.0
Alloxysta fuscitarsis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta glebaria,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta halterata,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,5.0,5.0,3.0,,,780956.0
Alloxysta heptatoma,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta islandica,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta kiefferi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta leunisii,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,1.0,1.0,,,668704.0
Alloxysta ligustri,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta longicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta longipennis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta lutea,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
