species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Alloclita albocinctella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,LF,,,,,gap,
Alloclita canariensis,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,LF",4.0,4.0,1.0,,,894637.0
Alloclita francoeuriae,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,LF",2.0,2.0,1.0,,,894638.0
Alloclita recisella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",2.0,4.0,1.0,,,786988.0
Anatrachyntis argyrogrammos,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,BOLD,3.0,6.0,0.0,,,746891.0
Anatrachyntis badia,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",337.0,344.0,1.0,,,362499.0
Anatrachyntis rileyi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",57.0,61.0,1.0,,,734939.0
Anatrachyntis simplex,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",7.0,9.0,1.0,,,487094.0
Ascalenia acaciella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Ascalenia decolorella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Ascalenia echidnias,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Ascalenia pachnodes,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,LF,,,,,gap,
Ascalenia vanella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Ascalenia vanelloides,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Ascalenia viviparella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Bifascia nigralbella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Bifascioides leucomelanella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",18.0,20.0,1.0,,,528309.0
Calycobathra calligoni,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Calycobathra variapenella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Coccidiphila camai,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,LF",2.0,2.0,1.0,,,805226.0
Coccidiphila danilevskyi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",3.0,4.0,1.0,,,362502.0
Coccidiphila gerasimovi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",4.0,7.0,1.0,,,786728.0
