species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Cerura delavoiei,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",5.0,11.0,1.0,,,748466.0,162870.0
Cerura erminea,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",30.0,47.0,2.0,,,162885.0,
Cerura iberica,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",11.0,12.0,2.0,,,162868.0,
Cerura intermedia,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",18.0,22.0,1.0,,,162874.0,
Cerura przewalskii,Arthropoda,Insecta,Lepidoptera,Notodontidae,"FE,LF",17.0,19.0,1.0,FD,,162872.0,284220.0
Cerura vinula,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",59.0,80.0,1.0,,,197752.0,162864.0
Clostera albosigma,Arthropoda,Insecta,Lepidoptera,Notodontidae,FE,151.0,152.0,3.0,,,21042.0,
Clostera anachoreta,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",77.0,79.0,3.0,,,205588.0,
Clostera anastomosis,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",17.0,18.0,2.0,,,19550.0,
Clostera curtula,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",37.0,40.0,1.0,,,197723.0,
Clostera pigra,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",37.0,39.0,1.0,,,183476.0,
Dicranura ulmi,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",10.0,11.0,1.0,,,723004.0,
Drymonia dodonaea,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",41.0,42.0,2.0,,,197729.0,
Drymonia obliterata,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",16.0,19.0,1.0,,,204421.0,
Drymonia querna,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",35.0,38.0,2.0,,,204465.0,
Drymonia ruficornis,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",38.0,41.0,2.0,,,197731.0,
Drymonia velitaris,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",10.0,12.0,1.0,,,266514.0,
Euhampsonia cristata,Arthropoda,Insecta,Lepidoptera,Notodontidae,"FE,LF",25.0,25.0,1.0,,,284217.0,
Furcula aeruginosa,Arthropoda,Insecta,Lepidoptera,Notodontidae,"FE,LF",1.0,1.0,0.0,,,1079748.0,
Furcula bicuspis,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",24.0,29.0,1.0,,,197795.0,
Furcula bifida,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",46.0,55.0,2.0,,,175261.0,
Furcula furcula,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",131.0,175.0,8.0,,,197672.0,175227.0
Furcula interrupta,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",8.0,11.0,1.0,,,748467.0,175266.0
Furcula loseri,Arthropoda,Insecta,Lepidoptera,Notodontidae,LF,,,,,gap,,
Gluphisia crenata,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",87.0,88.0,3.0,,,205597.0,
Harpyia milhauseri,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",34.0,36.0,1.0,,,224983.0,
Leucodonta bicoloria,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",21.0,24.0,2.0,,,204469.0,
Neoharpyia verbasci,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",1.0,4.0,0.0,,,971160.0,
Notodonta dromedarius,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",61.0,71.0,2.0,,,179040.0,
Notodonta furcula,Arthropoda,Insecta,Lepidoptera,Notodontidae,BOLD,1.0,1.0,0.0,,,684046.0,
Notodonta torva,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",61.0,78.0,1.0,,,258168.0,
Notodonta tritophus,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",30.0,32.0,2.0,,,205589.0,
Notodonta ziczac,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",49.0,59.0,1.0,,,197673.0,
Odontosia carmelita,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",19.0,22.0,1.0,,,197703.0,
Odontosia sieversi,Arthropoda,Insecta,Lepidoptera,Notodontidae,BOLD,2.0,2.0,1.0,,,270711.0,
Odontosia sieversii,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",9.0,9.0,4.0,,,286019.0,
Paradrymonia vittata,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,1079750.0,
Peridea anceps,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",41.0,43.0,3.0,,,205455.0,
Peridea korbi,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",2.0,2.0,0.0,,,296447.0,
Phalera bucephala,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",57.0,60.0,1.0,,,197733.0,
Phalera bucephalina,Arthropoda,Insecta,Lepidoptera,Notodontidae,LF,,,,,gap,,
Phalera bucephaloides,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",4.0,4.0,1.0,,,288125.0,
Pheosia gnoma,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",29.0,39.0,1.0,,,179035.0,
