"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,53.06313,-3.118395
"2","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,53.061361,-3.115364
"3","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,62.787333,22.581
"4","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.007278,-1.082048
"5","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.047436,20.801175
"6","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,52.628336,-2.466811
"7","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,53.5848,-1.434267
"8","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,53.600949,-1.428006
"9","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.249797,21.553876
"10","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.727926,-2.097682
"11","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,53.359025,-1.175062
"12","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,56.5456,-4.221763
"13","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,62.29,33.91
"14","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,54.160082,-0.393461
"15","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.936122,-1.543227
"16","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.397093,-1.677977
"17","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.791749,-2.574112
"18","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.494681,-2.642394
"19","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.773248,-1.327475
"20","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.416606,-0.009681
"21","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,51.449954,-2.598594
"22","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,66.7764,14.4642
"23","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.3029,19.0037
"24","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,62.31,9.61
"25","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.53,31.17
"26","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.5444,19.132
"27","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,66.27,30.11
"28","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.7968,24.1932
"29","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,67.959197,23.772557
"30","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,69.046036,20.850864
"31","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,60.174331,19.871424
"32","Botanophila trapezina (Zetterstedt, 1845)","ACCEPTED",1575835,1575835,68.71,25.94
