"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,62.620361,29.56506
"2","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,66.266154,29.556417
"3","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,68.617321,27.610191
"4","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,52.15,4.35
"5","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,52.25,4.45
"6","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,52.1,4.3
"7","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,62.584947,29.624273
"8","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,61.66637,27.342702
"9","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,66.34736,29.447183
"10","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,66.347958,29.45143
"11","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,61.648122,27.059993
"12","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,61.645044,27.595772
"13","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,60.286894,24.826422
"14","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,60.314015,24.254426
"15","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,60.429797,24.36353
"16","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,61.598938,29.540436
"17","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,66.000842,29.309432
"18","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,60.967698,24.319085
"19","Chlorops kirigaminensis Kanmiya, 1978","ACCEPTED",1489312,1489312,59.861327,23.158437
