"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,63.20874,14.69638
"2","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.47429,19.0206
"3","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.31758,19.58819
"4","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,63.84232,20.38736
"5","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.16351,19.18043
"6","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.24326,20.39023
"7","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,63.67064,19.75692
"8","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,62.08,9.13
"9","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,66.275607,25.103241
"10","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,66.28,25.1
"11","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.43211,13.08818
"12","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,65.54183,17.51496
"13","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.97132,15.32849
"14","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.39721,13.08258
"15","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.1833,14.5333
"16","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.17917,14.52075
"17","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.32752,13.38619
"18","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,62.226,25.724
"19","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,66.27,30.11
"20","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,63.77814,27.797447
"21","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,65.06327,17.26165
"22","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,64.73694,18.21002
"23","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,65.06541,17.16419
"24","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.16374,17.35472
"25","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,64.44325,18.57905
"26","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.44888,18.6346
"27","Cyrtopogon lapponicus (Zetterstedt, 1838)","ACCEPTED",8173452,8173452,64.40101,18.40765
"28","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,60.386041,16.399841
"29","Choerades lapponicus (Zetterstedt, 1842)","SYNONYM",8297721,8173452,66.003985,29.089332
