"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,67.803397,29.306665
"2","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,65.86135,24.479307
"3","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,60.247213,24.687042
"4","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,60.247311,24.687469
"5","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,60.247785,24.686352
"6","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,62.890462,22.704896
"7","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,63.924404,26.869023
"8","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,61.836707,24.063704
"9","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,64.907056,25.378728
"10","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,65.030873,24.824236
"11","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,64.908082,25.3823
"12","Clytocerus rivosus (Tonnoir, 1919)","ACCEPTED",1639672,1639672,61.480859,23.816947
