"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,56.765593,36.772522
"2","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.44266,16.44069
"3","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.09305,18.43736
"4","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,47.742538,12.19859
"5","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,46.654836,15.52158
"6","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.91304,14.46982
"7","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.912077,14.467406
"8","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.301,24.5811
"9","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.12806,15.34051
"10","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,46.65483,15.519369
"11","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.452559,8.015272
"12","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.10963,18.47019
"13","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,43.739538,3.198549
"14","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.13707,17.66638
"15","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,58.19618,14.91228
"16","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,55.9435,13.37222
"17","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.579752,5.268754
"18","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,53.253347,-1.774387
"19","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.235962,24.986221
"20","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,46.917932,12.496977
"21","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.574549,10.774717
"22","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.579739,5.268736
"23","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,62.258201,25.716686
"24","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,58.5726,22.75492
"25","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.326265,24.28848
"26","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.352441,19.832144
"27","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.348321,19.965009
"28","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.108127,19.821613
"29","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,56.73082,13.06608
"30","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,59.49691,13.75883
"31","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.523542,29.365869
"32","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,56.79172,16.58302
"33","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.351729,26.342574
"34","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.172263,26.346316
"35","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.04953,18.82163
"36","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,46.631205,13.248224
"37","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,58.43781,13.65075
"38","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,56.00459,-2.863097
"39","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,46.705924,13.405221
"40","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,50.6889,-3.805644
"41","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,56.69318,13.14948
"42","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.346804,24.732626
"43","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,55.866413,-2.880496
"44","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.072685,28.756912
"45","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.458421,22.177985
"46","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.478046,21.752865
"47","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.167828,20.027326
"48","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.70502,29.410021
"49","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.152837,23.921891
"50","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.548523,27.039114
"51","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.213218,24.131475
"52","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.407682,22.394666
"53","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.432042,22.157925
"54","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,60.524267,17.451483
"55","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,54.54769,-3.153993
"56","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.56783,28.049726
"57","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.507479,22.69038
"58","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.662889,27.119484
"59","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.379586,24.812087
"60","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,50.694303,-4.690859
"61","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,54.156583,-1.580396
"62","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.289386,25.4149
"63","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.582177,27.025037
"64","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.332672,25.286051
"65","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,59.52,25.96
"66","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,59.861327,23.158675
"67","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.619899,27.03721
"68","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.517637,27.369681
"69","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.5162,27.394785
"70","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.641286,27.094678
"71","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.643376,27.100734
"72","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.641526,27.106971
"73","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.609,27.477
"74","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.612171,27.462522
"75","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.648834,27.09744
"76","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.621909,27.097358
"77","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,51.144543,-1.465306
"78","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,47.33,11.18
"79","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,46.629,9.746
"80","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.684393,27.317152
"81","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.587917,23.437653
"82","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.597136,23.801986
"83","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.861417,23.591393
"84","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,62.039486,29.959564
"85","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.594647,27.316273
"86","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,61.040584,23.572153
"87","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.284498,24.511014
"88","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,53.258281,-1.769114
"89","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,56.3,12.8333
"90","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.86,30.61
"91","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,54.923465,-2.734856
"92","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,55.976982,-4.580502
"93","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,55.685771,-3.765739
"94","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,50.86604,-1.525337
"95","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,55.9789,-4.5722
"96","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,55.753693,-4.023807
"97","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,51.2099,10.4571
"98","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,51.3548,6.6429
"99","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,55.68,14.24
"100","Cryptaciura rotundiventris (Fallén, 1814)","SYNONYM",4515983,1623592,58.5833,13.3833
"101","Euleia rotundiventris (Fallén, 1814)","ACCEPTED",1623592,1623592,60.174331,19.871424
