"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.471811,22.237136
"2","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,61.731761,26.098132
"3","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,61.686774,26.080554
"4","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.531376,27.281621
"5","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.569244,27.186652
"6","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.545354,27.270362
"7","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.56159,27.187663
"8","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.558988,27.188318
"9","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.607561,27.253279
"10","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.567963,27.18837
"11","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.612171,27.462522
"12","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.630811,27.170465
"13","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,61.689748,27.176265
"14","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.219535,23.116788
"15","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,62.03,129.73
"16","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,67.959197,23.772557
"17","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,60.349767,24.913861
"18","Delia uniseriata (Stein, 1914)","ACCEPTED",5077653,5077653,61.79,34.35
