"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.323659,-16.368785
"2","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.147155,-16.430464
"3","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.146005,-16.42985
"4","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.246871,-16.434115
"5","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.261098,-16.40644
"6","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.226396,-16.628997
"7","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.353986,-16.480457
"8","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.344932,-16.483438
"9","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.335426,-16.491238
"10","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.258469,-16.462034
"11","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.324148,-16.551
"12","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.347762,-16.50417
"13","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.347125,-16.498697
"14","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.347253,-16.512388
"15","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.322618,-16.545165
"16","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.29987,-16.515487
"17","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.366197,-16.464505
"18","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.363478,-16.46566
"19","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.316868,-16.595612
"20","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.368023,-16.464891
"21","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.32038,-16.371186
"22","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,27.975659,-15.528785
"23","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.312189,-16.59973
"24","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.308519,-16.60498
"25","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.232109,-16.62574
"26","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,28.2239,-16.609819
"27","Estheria simonyi (Brauer & Bergenstamm, 1891)","ACCEPTED",1461291,1461291,50.440841,2.910283
