"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,43.95935,7.46113
"2","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,44.08961,7.24925
"3","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,45.33069,1.16372
"4","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,45.36424,0.64577
"5","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,45.44857,0.50719
"6","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,45.408,0.98587
"7","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,40,-1
"8","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,42.993019,-6.42567
"9","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,43.10796,-4.87693
"10","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,43.06657,-4.76504
"11","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,43.032478,-5.26646
"12","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,42.867001,-6.217
"13","Eumerus olivaceus Loew, 1848","ACCEPTED",1534770,1534770,42.600021,-0.51674
