"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,56.67483,16.5522
"2","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,59.22038,17.98374
"3","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,59.890491,10.719046
"4","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,59.891243,10.717888
"5","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,59.894118,10.599329
"6","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,46.62588,25.59745
"7","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.302216,0.271078
"8","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.303928,0.275567
"9","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,54.25542,28.48092
"10","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,60.19327,18.51138
"11","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.681688,1.475207
"12","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.612129,1.408374
"13","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,60.399281,24.687561
"14","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.199576,-2.180284
"15","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.198235,-2.17527
"16","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.184494,-0.792371
"17","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,50.948186,-0.570732
"18","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.318379,1.59342
"19","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.295277,1.613553
"20","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,50.58601,-4.607677
"21","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,52.258423,0.416109
"22","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.930267,-3.259446
"23","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.574419,-2.831107
"24","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.92705,-3.2659
"25","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.928027,-3.258656
"26","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.292665,-0.818219
"27","Gonomyia bifida Tonnoir, 1920","ACCEPTED",1510759,1510759,51.249629,-0.974785
