"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.55894,3.819388
"2","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.431894,-3.566731
"3","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.43298,-3.58193
"4","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.504397,15.052793
"5","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.433128,-3.581831
"6","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.634275,-9.082528
"7","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.709933,7.187953
"8","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,33.005684,-5.077424
"9","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,33.004524,-5.082711
"10","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.383315,4.286997
"11","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.523092,-9.153143
"12","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.365656,6.613794
"13","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.470912,11.544018
"14","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.967306,23.722537
"15","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,36.768718,-5.471362
"16","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.289731,3.093111
"17","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.430871,11.404036
"18","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.424433,-2.048544
"19","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.094578,22.436521
"20","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.52534,-9.144047
"21","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.510727,-4.049203
"22","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.527825,-8.624537
"23","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.709721,22.963465
"24","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.174602,-3.536053
"25","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.530454,-8.935648
"26","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.570933,1.959556
"27","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.173985,-3.536291
"28","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.783958,-3.831396
"29","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.12436,5.928
"30","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.950127,9.335735
"31","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.710818,22.96276
"32","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.835506,3.431086
"33","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.080361,23.447152
"34","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,52.74609,48.419944
"35","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.54517,1.891337
"36","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.185723,15.541523
"37","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.980312,14.754287
"38","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.28971,3.102573
"39","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.062956,-4.717922
"40","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.086248,3.799502
"41","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.272502,4.609511
"42","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.259322,0.985187
"43","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.578547,3.042672
"44","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.885345,6.512212
"45","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.571688,4.632695
"46","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.30742,4.349103
"47","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.68116,4.938437
"48","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.28614,-3.432224
"49","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.229804,-5.019707
"50","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.218453,-5.02239
"51","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.226371,-5.023629
"52","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,30.913945,34.844962
"53","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.191058,4.522722
"54","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.91189,5.106749
"55","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.290135,3.098471
"56","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.866572,10.833195
"57","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.490259,1.956545
"58","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.073609,1.435491
"59","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.278885,4.194824
"60","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.335951,13.827861
"61","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.230214,11.081861
"62","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.490354,18.753653
"63","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.538101,16.502501
"64","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.279722,16.624444
"65","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.761804,11.252239
"66","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.786589,26.668396
"67","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.213364,-4.792735
"68","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.250364,-2.525566
"69","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.304653,16.594809
"70","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.855632,13.040613
"71","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.39416,-7.335414
"72","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.810166,10.789857
"73","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.070776,-7.629232
"74","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.377641,16.522646
"75","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.247209,19.09032
"76","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.453576,18.649786
"77","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.853561,-2.641382
"78","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.490791,2.271205
"79","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.809734,46.311214
"80","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.397042,1.216625
"81","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.406196,-1.435792
"82","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.373058,-1.55096
"83","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.728776,-7.84462
"84","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.979078,21.112541
"85","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.978152,21.111282
"86","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.297223,22.611567
"87","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,39.160138,23.627798
"88","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.51228,-6.168018
"89","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.671397,34.390521
"90","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.025975,20.767762
"91","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,2.937072,-75.223769
"92","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.173231,-5.329072
"93","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.651757,22.967505
"94","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.311089,-3.68175
"95","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.544086,16.448965
"96","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.837569,7.240146
"97","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,36.984848,-4.534087
"98","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.109795,1.400829
"99","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,41.536639,1.70786
"100","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.674861,-3.77471
"101","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.420026,6.811562
"102","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.646911,23.265801
"103","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.572926,1.895744
"104","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.969192,-1.05556
"105","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.646819,23.266052
"106","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.765946,9.644304
"107","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.741735,-9.160593
"108","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.727014,4.032329
"109","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.378337,4.682043
"110","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,42.070068,-1.67309
"111","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,45.192733,4.69971
"112","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.493371,3.674199
"113","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,38.241295,20.472504
"114","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,40.430719,-3.297467
"115","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.401668,4.18642
"116","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.925613,-2.923222
"117","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,44.3507,4.5057
"118","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.990355,-2.828979
"119","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,54.777437,47.350692
"120","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.835523,3.43139
"121","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.19413,6.009092
"122","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.654055,3.92765
"123","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,37.05223,-3.133178
"124","Hemipenthes velutina (Meigen, 1820)","ACCEPTED",1669479,1669479,43.862332,15.628292
