"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.409683,-2.94963
"2","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.680542,-2.792785
"3","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,56.1921,-4.058639
"4","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,56.248791,-4.260224
"5","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,56.142997,-3.92724
"6","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,56.09565,-4.555124
"7","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,56.091283,-3.986543
"8","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.925573,-1.131118
"9","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.257911,-1.814835
"10","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.131215,-2.151659
"11","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.257902,-1.808839
"12","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.030629,-1.964918
"13","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.029734,-2.015615
"14","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.091678,-1.860345
"15","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.02973,-1.964919
"16","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.087177,-1.854387
"17","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,49.87136,2.2355
"18","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.878164,-2.789485
"19","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.506225,-2.844894
"20","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.812901,-3.85978
"21","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.7039,12.50225
"22","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.330107,1.061114
"23","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.158363,0.751499
"24","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.3305,1.063293
"25","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.232845,1.013818
"26","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.174622,0.824008
"27","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.077506,0.985859
"28","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.304309,1.03285
"29","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.07479,0.860755
"30","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.176296,0.810517
"31","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.335907,1.147656
"32","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.205167,1.040647
"33","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.175124,-1.230958
"34","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.789483,-1.38606
"35","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.137261,-0.977512
"36","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.154976,-0.947182
"37","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.843777,-1.45953
"38","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.7161,13.31666
"39","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.99242,12.75333
"40","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.69836,13.62149
"41","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.9,5.6
"42","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.273092,-3.540289
"43","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,58.20101,11.91292
"44","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,58.20029,11.91089
"45","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.176798,-3.123594
"46","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.560116,-3.897013
"47","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,47.09148,6.08557
"48","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.633894,-3.901459
"49","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.296527,-2.750532
"50","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.421136,-3.570222
"51","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.943007,-5.964314
"52","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.648772,-3.085407
"53","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.641414,-3.05416
"54","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.919713,-2.946524
"55","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.733473,-2.914613
"56","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.652016,-2.501801
"57","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.592409,-0.505285
"58","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.367382,-4.082031
"59","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.639888,-2.312082
"60","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.19734,-2.172404
"61","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.199576,-2.180284
"62","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.109661,-1.822822
"63","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.271389,-2.407769
"64","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.318594,-2.521548
"65","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.342678,-2.563456
"66","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.406362,-2.195474
"67","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.740991,-2.797953
"68","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.749777,-2.761169
"69","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.608572,-3.105387
"70","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.888248,-3.000352
"71","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.045937,-1.537767
"72","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.449848,-1.323881
"73","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.151126,-0.027515
"74","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.10885,-1.461886
"75","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.461023,-2.631126
"76","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.252787,-3.784372
"77","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.507475,-1.194801
"78","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.428235,-0.637344
"79","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.470514,-2.530477
"80","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.341741,-2.561937
"81","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.502597,-3.785131
"82","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.359025,-1.175062
"83","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.393112,-2.296745
"84","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.359969,-1.325304
"85","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.242565,-0.619453
"86","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.797437,-0.565069
"87","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.110693,-2.636274
"88","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.128901,-2.590644
"89","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.787233,-2.616189
"90","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.004436,-2.146429
"91","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.190564,-2.806082
"92","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.118773,-2.789389
"93","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.797419,-0.56362
"94","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.748387,-2.632122
"95","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.722792,-2.277612
"96","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.615192,-2.064965
"97","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.855968,-2.690404
"98","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,53.877566,-1.429335
"99","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.738801,-2.923219
"100","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.74117,-2.848152
"101","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.394493,0.424214
"102","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.634861,-2.895394
"103","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.9473,0.539683
"104","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.830892,-2.799542
"105","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.83179,-2.654437
"106","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.830145,-0.593055
"107","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.910256,-3.399177
"108","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.821273,-2.685478
"109","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.018036,-2.962442
"110","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.950399,-3.089038
"111","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.920022,-3.067946
"112","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.025427,-2.591675
"113","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.921342,-2.910933
"114","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.919522,-2.913804
"115","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.942356,-2.981189
"116","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,52.055517,-3.097427
"117","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.812537,-3.120526
"118","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.92714,-2.857242
"119","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.746499,-2.631477
"120","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.830736,-2.755278
"121","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.906626,-3.401972
"122","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,50.867694,0.009485
"123","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.273671,-0.488872
"124","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.321238,-0.758501
"125","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,54.258841,-1.131036
"126","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.814376,-3.11622
"127","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,51.8962,-3.945219
"128","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.672026,-4.653076
"129","Hilara thoracica Macquart, 1823","ACCEPTED",5079644,5079644,55.800924,-4.636308
