"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,42.247624,-84.742993
"2","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.65,6
"3","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.10103,16.56546
"4","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.537471,-1.234699
"5","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.85,6
"6","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,61.07783,6.572335
"7","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.466322,11.002485
"8","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,63.72828,11.286712
"9","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.38743,13.41341
"10","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.81179,14.28855
"11","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.7,5.85
"12","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.71449,17.41076
"13","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.76656,14.16011
"14","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.38742,13.41343
"15","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.45845,16.37474
"16","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.79803,14.30892
"17","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,61.07925,13.21655
"18","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.95,5.45
"19","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.15,5.15
"20","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.15,6.3
"21","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.95,5.65
"22","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.15,6.25
"23","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.7,4.7
"24","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.25,6.3
"25","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.744465,-1.464463
"26","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.87491,12.32316
"27","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.731449,-6.223342
"28","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.767055,9.086396
"29","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.168594,9.625653
"30","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.79168,17.63519
"31","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.92545,17.79651
"32","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.447324,12.754522
"33","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,63.24811,14.52801
"34","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,61.522804,21.836104
"35","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.132988,51.533341
"36","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.938951,37.311816
"37","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.55,4.6
"38","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.65,6.2
"39","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.45,6.15
"40","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.609873,23.955781
"41","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,68.113578,23.334132
"42","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057247,25.623937
"43","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.063039,25.625797
"44","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.610571,23.876874
"45","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057405,25.632518
"46","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53,7
"47","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057104,25.623665
"48","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.471636,-5.378794
"49","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.466934,6.286779
"50","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.73082,13.06608
"51","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.73656,16.9621
"52","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.81127,14.27511
"53","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.056324,25.607543
"54","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057358,25.623255
"55","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.976197,9.167191
"56","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.609594,23.955366
"57","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.742225,11.009617
"58","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.668741,26.833342
"59","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.60993,23.9564
"60","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.86263,18.80859
"61","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.79507,15.06381
"62","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.265475,-1.908715
"63","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.614585,24.665567
"64","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.85737,16.82065
"65","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.79595,15.06693
"66","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.3895,12.3059
"67","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.95,6.75
"68","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.35,4.55
"69","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.713156,10.863021
"70","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.17414,14.01302
"71","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.86461,17.72519
"72","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.7203,17.76017
"73","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.29739,14.6569
"74","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.66605,16.29288
"75","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.711696,1.225105
"76","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.90017,5.68956
"77","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.3,3.95
"78","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.941705,10.83502
"79","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.19473,14.91079
"80","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.11079,14.54433
"81","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.52024,14.98526
"82","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.974096,0.68859
"83","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.392546,-0.701454
"84","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.19458,14.91052
"85","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,66.43013,20.62412
"86","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.911284,-0.95979
"87","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.909417,7.538525
"88","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.45885,16.04792
"89","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,64.480695,27.591221
"90","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.88878,5.71121
"91","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,41.377945,-75.291803
"92","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,61.074193,6.581103
"93","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.380765,10.428981
"94","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.581386,-4.546363
"95","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.96927,17.27484
"96","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.25791,15.91854
"97","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.88556,15.87256
"98","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.402305,-6.427794
"99","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.660262,-0.753671
"100","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.041011,-0.557283
"101","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.90041,5.68971
"102","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.7,6.4
"103","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.475824,-5.376892
"104","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.470893,-5.392859
"105","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.17046,9.61731
"106","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.822764,10.792934
"107","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.265443,-1.908767
"108","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.45682,14.89153
"109","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.59115,15.19934
"110","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.7999,17.62495
"111","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.7954,15.06539
"112","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.302261,-0.175234
"113","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.059127,-3.203933
"114","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.821854,1.402508
"115","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.467927,-6.306924
"116","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.265436,-1.908731
"117","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.673876,26.842563
"118","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.576254,23.931444
"119","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.05,4.85
"120","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.95,6.65
"121","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.9,6.55
"122","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.35,5.45
"123","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.65,4.7
"124","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.3,6.1
"125","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.95,6.9
"126","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.05,4.5
"127","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.31645,14.35336
"128","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.590663,8.451997
"129","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.265513,-1.908748
"130","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.77054,14.31043
"131","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.499251,24.692378
"132","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.9688,-3.19706
"133","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.81941,-0.58909
"134","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.1,4.85
"135","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057139,25.624227
"136","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,62.018209,22.968837
"137","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.723806,-2.841691
"138","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.55,5.25
"139","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.376948,-2.327906
"140","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.975937,-1.333853
"141","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.958961,-4.161894
"142","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.78278,-2.800865
"143","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.7828,-2.797966
"144","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.499489,23.09748
"145","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.3035,14.32614
"146","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.99779,14.58651
"147","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.8074,14.28907
"148","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.868658,-2.882444
"149","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.892707,-4.1766
"150","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.051757,-3.309376
"151","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.41832,-3.29604
"152","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.697029,-2.484123
"153","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.557824,-1.778537
"154","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.620859,-1.106919
"155","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.91242,5.66279
"156","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.97311,5.69882
"157","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.68998,5.72393
"158","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.957137,-4.163262
"159","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.428393,-2.566588
"160","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,48.873981,8.790667
"161","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.653933,13.795944
"162","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.4933,14.61418
"163","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.22252,13.60929
"164","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.53837,5.74777
"165","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.696854,-6.207715
"166","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.696939,-6.207401
"167","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.353627,-0.597646
"168","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.10963,18.47019
"169","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.45443,14.84338
"170","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.618854,10.441777
"171","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.473655,-4.450455
"172","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.714655,8.822569
"173","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,69.511255,20.616471
"174","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,69.51814,20.62499
"175","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.837629,-2.655248
"176","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.347953,6.24684
"177","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.874472,11.899758
"178","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.812973,11.692723
"179","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.37634,14.95666
"180","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.4278,14.10602
"181","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.40609,14.61767
"182","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.024718,-4.414378
"183","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.748628,-0.812371
"184","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.143388,-5.802615
"185","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.6404,16.77509
"186","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.489296,-2.704878
"187","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.92004,8.86232
"188","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.469902,-2.370661
"189","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.272211,-0.29047
"190","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.31923,15.8756
"191","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.496353,23.091664
"192","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.955102,5.724649
"193","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.57131,17.37743
"194","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.58753,16.66016
"195","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.97633,11.05434
"196","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.590967,8.453792
"197","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.48945,-2.69413
"198","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.998174,-1.067977
"199","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.046938,-2.706317
"200","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.470579,-5.381299
"201","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.475937,-5.379339
"202","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.942566,10.916336
"203","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.49086,-1.090287
"204","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.493185,-1.08873
"205","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.609423,23.954975
"206","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.057086,25.635725
"207","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,61.466258,23.845074
"208","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,60.609442,23.955033
"209","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.058797,25.62139
"210","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,65.064665,25.615525
"211","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.41275,16.5525
"212","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.27876,18.37799
"213","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.72362,17.31672
"214","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.97199,18.29308
"215","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.847679,-2.943194
"216","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.12087,-2.397297
"217","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.92032,-3.22009
"218","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.581136,-0.675808
"219","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.629281,1.558999
"220","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.578367,-4.365493
"221","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.737193,-0.801954
"222","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.689237,-3.464389
"223","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.57828,-4.365348
"224","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.555857,-3.371684
"225","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.19301,14.90863
"226","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.19618,14.91229
"227","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.75569,5.68781
"228","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.7,5.65
"229","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.25,5.95
"230","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.1,4.55
"231","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.638695,-1.982963
"232","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.904238,-3.455553
"233","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.72518,-2.838016
"234","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.687979,-3.807025
"235","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.025481,-1.110206
"236","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.661186,-5.776949
"237","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.258917,0.049401
"238","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.733954,-1.38262
"239","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.735549,-1.386818
"240","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.97644,17.09723
"241","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.356829,6.154039
"242","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.23906,15.8021
"243","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.241512,-1.072937
"244","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.861879,-0.939403
"245","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.434776,-2.547105
"246","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.34189,-4.021397
"247","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.341916,-4.01978
"248","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.176423,-3.667934
"249","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.029402,-3.950462
"250","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.487524,-4.373492
"251","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.252348,0.070524
"252","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,35.32,-120.85
"253","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.6949,16.63261
"254","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.559733,6.471092
"255","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.74742,14.14844
"256","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.1964,14.9116
"257","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.01401,14.13289
"258","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,68.771221,16.206438
"259","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.4,4.3
"260","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.6,5.3
"261","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.05,5.35
"262","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.234635,-1.066954
"263","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.629216,1.559659
"264","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.494409,-1.895203
"265","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.501608,-1.905738
"266","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.734938,-1.381717
"267","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.740055,10.728272
"268","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.950242,10.635103
"269","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.91821,10.561439
"270","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.59009,13.72852
"271","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.558834,6.467336
"272","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.01181,14.67125
"273","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.971714,10.418712
"274","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,57.40715,14.61569
"275","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,59.537822,30.078607
"276","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.53872,5.74565
"277","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.8,5.9
"278","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.910983,-3.750215
"279","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.177394,-2.826509
"280","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.461919,-4.043558
"281","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,50.989296,-1.082403
"282","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,51.737009,-0.801525
"283","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,53.89696,-2.50443
"284","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,55.54547,-5.1022
"285","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,54.384764,-2.916054
"286","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.529019,-1.984479
"287","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,52.053859,1.105995
"288","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,56.66485,16.48211
"289","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.350484,6.30549
"290","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.338124,6.301032
"291","Rhipidia maculata Meigen, 1818","ACCEPTED",1519997,1519997,58.358599,6.332535
