"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,43.327146,3.285196
"2","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,37.288619,-7.616569
"3","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.438274,-3.629633
"4","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,37.072452,-3.01757
"5","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,42.32943,-3.66328
"6","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,39.980949,-6.04546
"7","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.33,-3.88
"8","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.5,-4.95
"9","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,38.69,-0.53
"10","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,39.43,-4.45
"11","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.33,-3.53
"12","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,41.21,-5.68
"13","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.85,-6.33
"14","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.06,-3.53
"15","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,40.58,-5.3
"16","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,41.02,-6.2
"17","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,39.42,-4.57
"18","Mallota dusmeti Andréu Rubio, 1926","ACCEPTED",1541422,1541422,42.32,-3.67
