"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,50.85,5.75
"2","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,50.8,5.75
"3","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,51.95,5.85
"4","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,52.37142,0.980574
"5","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,50.670491,-2.077069
"6","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,52.980298,-0.466612
"7","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,60.27731,20.002108
"8","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,60.27731,20.002109
"9","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,60.335332,24.851274
"10","Meoneura glaberrima Becker, 1907","ACCEPTED",1582444,1582444,42.11697,9.12525
