"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.760745,29.297373
"2","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.747975,29.601178
"3","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.748706,29.565145
"4","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.827874,29.439614
"5","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.821112,29.4362
"6","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.83887,29.450937
"7","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,68.09804,25.610778
"8","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,66.426988,25.081081
"9","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,65.582575,28.89579
"10","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,66.426095,25.079606
"11","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,66.4262,25.0797
"12","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.72109,29.474683
"13","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,61.767263,22.815418
"14","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.488992,23.702965
"15","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,66.236423,25.0954
"16","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.764489,29.458831
"17","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.754154,27.17539
"18","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,67.86154,26.017887
"19","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.399944,23.419654
"20","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.445687,23.05009
"21","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.256462,23.438824
"22","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.287172,24.74721
"23","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,62.520504,25.991263
"24","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,65.567786,28.184609
"25","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,65.189197,28.10001
"26","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,65.569703,28.176792
"27","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,66.259503,29.621983
"28","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.343555,24.691019
"29","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.286352,24.747068
"30","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,60.332285,24.670372
"31","Metriocnemus exilacies Saether, 1995","ACCEPTED",1450217,1450217,64.649,12.121
