"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,58.11079,14.54433
"2","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,57.80844,14.27877
"3","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,52.634121,1.547566
"4","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.843512,-2.984939
"5","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,51.768307,-2.813651
"6","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,57.76608,14.15183
"7","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,52.611699,-1.91947
"8","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.904238,-3.455553
"9","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,58.19618,14.91229
"10","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,56.178324,-4.280248
"11","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,52.468344,-0.824526
"12","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,57.8074,14.28907
"13","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,58.1964,14.9116
"14","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.72433,10.838598
"15","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.97035,10.32397
"16","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.72433,10.8386
"17","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.970345,10.323974
"18","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.843524,-2.983519
"19","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.844435,-2.982118
"20","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,54.170491,-2.78348
"21","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.351168,-2.296657
"22","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.603168,-2.475231
"23","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.844423,-2.983538
"24","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.60315,-2.479764
"25","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.351164,-2.298159
"26","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.844411,-2.984958
"27","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.35207,-2.295161
"28","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.647046,-3.836573
"29","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,60.17397,10.19885
"30","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,58.01401,14.13289
"31","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,52.951213,-3.925253
"32","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,60.173972,10.198845
"33","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,60.175437,10.199638
"34","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.972267,10.98641
"35","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.98719,11.10035
"36","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,60.17544,10.19964
"37","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.97227,10.98641
"38","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,59.987192,11.100353
"39","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,51.188771,-0.645084
"40","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,51.326248,0.876384
"41","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.348027,-2.294381
"42","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,52.539255,-2.156242
"43","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.08356,-2.994259
"44","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,53.357016,-2.294443
"45","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.844709,-3.002719
"46","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,50.853701,-3.002912
"47","Molophilus serpentiger Edwards, 1938","ACCEPTED",1519124,1519124,51.191919,-0.64907
