"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.83938,20.1185
"2","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.82994,20.19246
"3","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.71311,19.55868
"4","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.89867,20.30086
"5","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.346265,25.216424
"6","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.74878,20.30915
"7","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,65.44303,21.54476
"8","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.87089,20.33926
"9","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,57.67905,11.92915
"10","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.86219,20.08009
"11","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,64.27252,20.42408
"12","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,64.20131,20.82744
"13","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,65.12488,20.78482
"14","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,64.6835,20.57081
"15","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,65.10969,20.79003
"16","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,65.23348,20.41387
"17","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,58.543982,7.755919
"18","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,52.72122,-2.684702
"19","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.354954,25.275695
"20","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.466189,22.286099
"21","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,67.818097,29.331982
"22","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,67.805648,29.276671
"23","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.88309,20.03557
"24","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,59.67688,15.46458
"25","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,54.328476,-4.531199
"26","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.287679,24.825914
"27","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,61.533751,21.548697
"28","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,63.86647,20.35175
"29","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.461334,22.3734
"30","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.460566,22.37715
"31","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.460499,22.376523
"32","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.461106,22.375891
"33","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,58.01369,14.13365
"34","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,64.10234,19.97314
"35","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,64.846779,25.278462
"36","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.461586,22.374184
"37","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,60.485071,22.302189
"38","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,61.504236,22.909292
"39","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,69.990812,27.487322
"40","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,66.408093,24.568848
"41","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,67.762206,29.436701
"42","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,67.094746,27.853937
"43","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,67.094765,27.853799
"44","Nanna tibiella (Zetterstedt, 1838)","SYNONYM",1556193,11187906,53.223722,-4.001125
