"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,60.652868,23.898135
"2","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,50.855708,-1.527573
"3","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,67.780851,29.197986
"4","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,63.82994,20.19247
"5","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,67.789997,29.324145
"6","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.887785,-4.484333
"7","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,69.514834,27.123804
"8","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,65.27978,15.30214
"9","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.310311,0.294232
"10","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,63.8688,20.18909
"11","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,67.58807,24.207599
"12","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.596184,1.320732
"13","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,56.21638,-2.888403
"14","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,42.47816,3.02395
"15","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.670822,0.929175
"16","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.414374,-2.334432
"17","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.371988,-2.378176
"18","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,57.779631,-4.044776
"19","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,51.815558,-5.103988
"20","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,51.768051,-4.428868
"21","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,51.507751,-3.117354
"22","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,51.571895,-2.869299
"23","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,54.251252,-4.372175
"24","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.758302,-3.844114
"25","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,50.915852,0.737164
"26","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,53.538776,-1.171573
"27","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,50.821394,-1.610968
"28","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,50.821441,-1.625164
"29","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,53.65157,-1.237447
"30","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,53.304365,-4.29082
"31","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,47.97,12.14
"32","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,51.933011,-4.719273
"33","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.175087,-3.881315
"34","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,51.978757,-4.838551
"35","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,51.977824,-4.839948
"36","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,51.939666,-4.70367
"37","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,53.359969,-1.325304
"38","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,59.78,18.74
"39","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,59.82,18.65
"40","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,59.03,15.66
"41","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,54.229037,-1.794416
"42","Norrbomia nilotica (Becker, 1903)","SYNONYM",4514576,1589573,54.220075,-1.809796
"43","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.428196,0.866711
"44","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,60.634608,27.453833
"45","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,53.651135,-1.239725
"46","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,60.874,7.337
"47","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,59.971,6.004
"48","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.923525,-2.752595
"49","Norrbomia costalis (Zetterstedt, 1847)","ACCEPTED",1589573,1589573,52.92343,-2.767467
