"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.592295,-1.413176
"2","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.70105,-1.408759
"3","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,51.73563,-3.377122
"4","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,54.55318,-5.944367
"5","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,54.69754,-6.208538
"6","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,53.847103,-1.047775
"7","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.772836,-2.408324
"8","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.891936,-2.525378
"9","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.4,6.65
"10","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,53.359969,-1.325304
"11","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,51.622179,-2.181957
"12","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.31451,0.28638
"13","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.310595,0.279576
"14","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,53.539726,-1.322451
"15","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.31173,0.290638
"16","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,53.687422,-1.221658
"17","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,51.6311,-0.1513
"18","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,51.296325,-0.373484
"19","Phytomyza leucanthemi Hering, 1935","ACCEPTED",1551805,1551805,52.4581,13.2875
