"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,57.6861,12.37227
"2","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,52.4,6.3
"3","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,53.2,6.15
"4","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,51.3,5.65
"5","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,53.15,6.05
"6","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,52.15,5.5
"7","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,51.5,5.3
"8","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,52.4817,13.2365
"9","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,54.4439,12.5652
"10","Phytomyza thysselinivora Hering, 1924","ACCEPTED",1551480,1551480,52.6069,12.8815
