"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,58.5786,23.2653
"2","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,62.591699,29.235405
"3","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,63.016002,30.45342
"4","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,62.674574,29.632209
"5","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.353233,19.854828
"6","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,61.167429,28.607894
"7","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,51.797,87.309
"8","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.099998,24.26
"9","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.615437,21.925931
"10","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.615277,21.929166
"11","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.202176,23.906529
"12","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.242545,23.809672
"13","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.319239,24.969648
"14","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,61.379827,23.001444
"15","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,59.21977,15.5172
"16","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,61.1818,28.845253
"17","Pipizella brevis Lucas, 1976","ACCEPTED",1532966,1532966,42.690392,-0.30629
"18","Pipizella brevis Lucas, 1976","ACCEPTED",1532966,1532966,42.600021,-0.51674
"19","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.843688,23.420487
"20","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,61.040584,23.572153
"21","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.620744,23.53757
"22","Pipizella certa Violovich, 1981","SYNONYM",4786070,1532966,60.170379,24.925005
