"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,64.97045,24.701767
"2","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.496268,23.08876
"3","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.499489,23.09748
"4","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.069356,23.859948
"5","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.498694,23.094843
"6","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.497824,23.092762
"7","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.753721,1.637335
"8","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.461106,22.375891
"9","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.861671,-2.558432
"10","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.620509,29.472296
"11","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,64.085297,27.109235
"12","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.206972,30.317168
"13","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,61.892677,30.123178
"14","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.045878,30.255587
"15","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,56.422518,-3.537638
"16","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,55.71819,13.17152
"17","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.646,-2.540899
"18","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.343555,23.101009
"19","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,63.83124,20.18324
"20","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.56172,29.145475
"21","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.560001,29.15
"22","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.93251,18.25475
"23","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,55.70401,13.44615
"24","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,68.643237,27.513494
"25","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.069885,28.268837
"26","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.463179,26.283053
"27","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.445802,26.20986
"28","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,62.042973,28.267716
"29","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,63.241926,27.075896
"30","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,63.240002,27.08
"31","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,51.080002,13.77
"32","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.602276,21.669156
"33","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,64.664023,24.431347
"34","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.605512,21.671364
"35","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,59.51,17.55
"36","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,53.320664,-1.573623
"37","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,55.67636,13.41045
"38","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,53.373493,-1.332606
"39","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,53.437666,-1.617613
"40","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,53.249449,-1.87407
"41","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.30216,0.274009
"42","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.306538,0.280101
"43","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,59.95,10.4172
"44","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,52.312202,0.654523
"45","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,51.444941,-0.63946
"46","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,57.626178,-5.342739
"47","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.289386,25.414897
"48","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,53.39179,-1.392469
"49","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.49834,23.447499
"50","Pipunculus tenuirostris Kozanek, 1981","ACCEPTED",1647026,1647026,60.354954,25.275695
