"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,28.2239,-16.609819
"2","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,51.36008,0.759984
"3","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,51.443827,0.452011
"4","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.69326,-27.15811
"5","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.72032,-27.14092
"6","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.69325,-27.16386
"7","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.71128,-27.15815
"8","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.68871,-27.18685
"9","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.69777,-27.15812
"10","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.75314,-25.32281
"11","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.76223,-25.32829
"12","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.71131,-27.13515
"13","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.75338,-25.33983
"14","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.7158,-27.14666
"15","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.69777,-27.15237
"16","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.76239,-25.33963
"17","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.72464,-27.25021
"18","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.75764,-25.32271
"19","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.7339,-27.07191
"20","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.76681,-25.33386
"21","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.71587,-27.07189
"22","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.71132,-27.1294
"23","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.68872,-27.1811
"24","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.68874,-27.1696
"25","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.72038,-27.0719
"26","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.69778,-27.14662
"27","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.6978,-27.12937
"28","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.7113,-27.1409
"29","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.74291,-27.07767
"30","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.75346,-25.34551
"31","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.71582,-27.13516
"32","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.7578,-25.33406
"33","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.75772,-25.32839
"34","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.70678,-27.15239
"35","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.76673,-25.32818
"36","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.72938,-27.08341
"37","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,38.72038,-27.07765
"38","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.74887,-25.33994
"39","Rachispoda varicornis (Strobl, 1900)","ACCEPTED",4514501,4514501,37.74871,-25.32859
