"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,42.70378,-0.06412
"2","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.379507,29.949005
"3","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,60.457546,22.278369
"4","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.379375,29.951154
"5","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,60.509094,22.250413
"6","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.379524,29.951069
"7","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.654464,29.628655
"8","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.588816,29.753744
"9","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,64.735861,24.566301
"10","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.655197,29.747609
"11","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,64.737653,24.56614
"12","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.655125,29.745573
"13","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.62926,29.707709
"14","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.616647,29.689141
"15","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,64.106673,27.109634
"16","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.616633,29.688785
"17","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.385612,29.962034
"18","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.588476,29.753411
"19","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,62.413675,30.665012
"20","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,60.652023,24.018966
"21","Oscinella frit (Linnaeus, 1758)","ACCEPTED",1490322,1490322,60.645497,23.968353
