"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,66.68394,20.35256
"2","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,56.81256,13.04931
"3","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,65.80868,22.02242
"4","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,69.046036,20.850864
"5","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,68.09079,21.7007
"6","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,67.13987,20.66379
"7","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,68.47363,22.20519
"8","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,67.20914,23.38534
"9","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,69.7758,23.9112
"10","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,68.34918,18.82584
"11","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,59.37,143.26
"12","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,69.63,31.29
"13","Scatopse lapponica Duda, 1928","ACCEPTED",5072257,5072257,67.869681,23.784962
