"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,56.072029,-3.308377
"2","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,63.89867,20.30086
"3","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,65.44303,21.54476
"4","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,63.03017,14.77932
"5","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,69.044267,20.801948
"6","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,69.169567,21.449125
"7","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,65.23348,20.41387
"8","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,51.2,5.65
"9","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,53.607569,-2.49795
"10","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,62.59197,15.59545
"11","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,63.896,20.24026
"12","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,64.46382,19.06026
"13","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,62.615426,29.675545
"14","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,62.584947,29.624273
"15","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,62.31699,16.68734
"16","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,62.52083,17.23229
"17","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,60.971243,24.503537
"18","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,69.89588,27.060644
"19","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,60.524267,17.451483
"20","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,57.013351,-3.494421
"21","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,57.014727,-3.492006
"22","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,52.063322,-2.029857
"23","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,63.030932,31.374927
"24","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,59.881,8.611
"25","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,52.079117,-1.695714
"26","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,51.271737,1.384173
"27","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,57.088666,-3.990077
"28","Scoliocentra dupliciseta (Strobl, 1894)","ACCEPTED",1562356,1562356,60.170379,24.925005
