"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.95,5.25
"2","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52.55,5.35
"3","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52,5.55
"4","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52.25,5.95
"5","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.8,5.6
"6","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.75,5.8
"7","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.95,5.65
"8","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52.1,4.35
"9","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52.1,5.8
"10","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.95,5.5
"11","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,51.9,5.6
"12","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52,5.65
"13","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,-19.282777,146.800833
"14","Setacera breviventris (Loew, 1860)","ACCEPTED",1619283,1619283,52.15,4.35
