"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,37.679352,-122.406973
"2","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,47.597705,18.974528
"3","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,47.597695,18.974534
"4","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.972952,1.921335
"5","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,51.111403,-0.202309
"6","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,49.044094,7.992438
"7","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.551309,5.098336
"8","Lonchaea fumosa Egger, 1862","SYNONYM",1586581,9349309,52.685,1.4814
"9","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,39.463215,-8.194163
"10","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.174022,0.078247
"11","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.162975,0.055445
"12","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.477512,-119.163493
"13","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.957275,-1.061955
"14","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.073951,0.054641
"15","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.215534,-0.311452
"16","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,38.73153,-9.208184
"17","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,48.259651,10.096677
"18","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,51.138557,9.463855
"19","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,51.607578,9.907009
"20","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,51.362244,7.149096
"21","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.782995,2.512274
"22","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.347589,-1.583775
"23","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,51.787616,5.921035
"24","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,52.524052,13.325494
"25","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,50.198025,8.563162
"26","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.043427,0.206919
"27","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.034638,0.196029
"28","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.026066,0.173225
"29","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.70704,-0.647875
"30","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,51.693216,-1.325767
"31","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,53.762665,12.120495
"32","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,52.323635,13.138402
"33","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,48.809416,12.887886
"34","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.226022,21.049808
"35","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.790492,4.362528
"36","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.958364,0.087939
"37","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,50.79216,8.709519
"38","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.936673,21.390417
"39","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,47.788799,12.417142
"40","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.064987,7.129794
"41","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.715414,-2.941454
"42","Setisquamalonchaea fumosa (Egger, 1862)","SYNONYM",1586580,9349309,50.406498,8.966614
"43","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,37.679305,-122.407097
"44","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.697427,-2.753878
"45","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,48.131858,-1.680877
"46","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.066011,7.132743
"47","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,48.482113,-2.694411
"48","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.065998,7.132743
"49","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,45.543102,-122.575852
"50","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,53.064588,7.130462
"51","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.943763,0.074585
"52","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.81476,0.246513
"53","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.48945,-2.69413
"54","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,52.493469,-2.713635
"55","Silba fumosa (Egger, 1862)","ACCEPTED",9349309,9349309,50.551427,5.099187
