"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,57.68527,-2.01357
"2","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.942885,4.885454
"3","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.908068,4.268196
"4","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.848723,4.350486
"5","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.991594,5.062534
"6","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.806232,4.584481
"7","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,52.972671,5.104374
"8","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.846855,4.356799
"9","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.806668,4.586387
"10","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.751,4.726258
"11","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.979398,5.040789
"12","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.918018,4.228264
"13","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.835754,4.505923
"14","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.967447,4.130939
"15","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.848779,4.350804
"16","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.833658,4.502191
"17","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,50.951781,0.739275
"18","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.921154,4.227165
"19","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.806391,4.585377
"20","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,51.897113,4.718881
"21","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,53.701107,-0.721533
"22","Thalassosmittia thalassophila (Béquaert & Goetghebuer, 1913)","ACCEPTED",1456721,1456721,50.805984,-0.064131
