"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.672857,12.080716
"2","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.598785,11.368245
"3","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.42605,11.31103
"4","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.129974,10.246968
"5","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.129922,10.246858
"6","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.03264,15.35805
"7","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,57.3212,18.41992
"8","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.384606,10.593411
"9","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.33056,11.79004
"10","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.27145,18.12121
"11","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.31639,17.89815
"12","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.44788,16.39865
"13","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,56.61808,16.49716
"14","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.09652,-4.19504
"15","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.73973,17.47386
"16","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.830892,-2.799542
"17","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.86404,13.68626
"18","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.10693,18.26118
"19","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,56.71735,15.96551
"20","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,56.442611,9.141865
"21","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.27114,18.11833
"22","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.97567,17.68741
"23","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.19905,16.57813
"24","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.77609,18.32312
"25","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,60.54524,17.45954
"26","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.94525,16.85206
"27","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.16298,-0.301689
"28","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.72649,17.41521
"29","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,59.76891,17.566
"30","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,58.96714,16.45898
"31","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,57.78171,11.93295
"32","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,55.129913,10.246687
"33","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,57.87579,18.96239
"34","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.635066,-4.096595
"35","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,52.372886,0.921899
"36","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,57.56382,18.38802
"37","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.85,5.85
"38","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.95,6.05
"39","Wachtliella caricis (Loew, 1850)","ACCEPTED",1599290,1599290,51.75,5.1
"40","Dasineura muricatae (Meade, 1886)","SYNONYM",10099955,1599290,53.359969,-1.325304
"41","Dasineura muricatae (Meade, 1886)","SYNONYM",10099955,1599290,53.449848,-1.323881
"42","Wachtliella riparia (Winnertz, 1853)","SYNONYM",6098275,1599290,57.31985,17.07344
"43","Dasineura muricatae (Meade, 1886)","SYNONYM",10099955,1599290,52.873398,1.044622
