"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.759998,24.690001
"2","Amauronematus saarineni Lindqvist, 1945","SYNONYM",4491547,11792883,59.815652,8.729459
"3","Amauronematus saarineni Lindqvist, 1945","SYNONYM",4491547,11792883,59.93765,9.035199
"4","Amauronematus saarineni Lindqvist, 1945","SYNONYM",4491547,11792883,59.799671,8.754003
"5","Amauronematus saarineni Lindqvist, 1945","SYNONYM",4491547,11792883,59.967796,9.054127
"6","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,61.326265,24.28848
"7","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,59.861327,23.158437
"8","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.303561,25.12475
"9","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.309575,24.925351
"10","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.861417,23.591393
"11","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.77183,23.600919
"12","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.458421,22.177985
"13","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,61.156934,24.860502
"14","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,61.259249,24.303717
"15","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.861417,23.591649
"16","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,60.170379,24.925005
"17","Euura saarineni (Lindqvist, 1945)","ACCEPTED",11792883,11792883,61.501656,24.085572
