"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.3035,13.60794
"2","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.94031,14.26138
"3","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,51.65,5.6
"4","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,51.95,5.65
"5","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.1,5.25
"6","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,51.95,5.75
"7","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,53.109868,9.915376
"8","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,57.80479,12.37156
"9","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.115206,11.401436
"10","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.120448,11.398938
"11","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.64549,16.08832
"12","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.36769,15.60813
"13","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,51.95,5.5
"14","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.35,5.9
"15","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.16805,15.2828
"16","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.06804,15.11363
"17","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.75033,13.39269
"18","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.88824,16.71037
"19","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.38126,15.64297
"20","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.16726,16.17063
"21","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.36787,13.50145
"22","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.71884,16.73791
"23","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.30363,13.6079
"24","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.06749,15.10921
"25","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.9357,14.26428
"26","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.2555,15.10512
"27","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.46483,13.37739
"28","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.34206,13.52022
"29","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,61.37371,15.82416
"30","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.93302,14.26169
"31","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.711,13.43911
"32","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.295319,8.668629
"33","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.45,6
"34","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.6958,16.11448
"35","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.09991,12.63103
"36","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.210932,11.126578
"37","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.241315,11.107067
"38","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.38623,15.625
"39","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52,5.8
"40","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.5,6.4
"41","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,54.600729,-1.23925
"42","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.6757,15.85477
"43","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.62668,13.50582
"44","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.22308,12.71004
"45","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.67881,16.52572
"46","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.75,6.9
"47","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.209834,11.126704
"48","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.24862,18.25773
"49","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.58044,17.45705
"50","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,57.03776,16.3224
"51","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.60781,13.55729
"52","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.41594,16.43273
"53","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.27826,12.83278
"54","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.63233,16.68528
"55","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.27013,12.84311
"56","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,58.43379,13.85781
"57","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,56.54446,13.06397
"58","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.06998,15.09651
"59","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.45918,17.81326
"60","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.89768,17.62849
"61","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,52.05,5.8
"62","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.89632,17.626867
"63","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.137467,13.006758
"64","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,53,6.55
"65","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.76006,14.19541
"66","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,55.76508,14.14817
"67","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.15078,16.17436
"68","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.89683,17.62696
"69","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,60.797769,11.094257
"70","Andrena nigriceps (Kirby, 1802)","ACCEPTED",1357734,1357734,59.89632,17.62688
