"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Anisobas rebellis Wesmael, 1845","ACCEPTED",1290806,1290806,52,4.15
"2","Anisobas rebellis Wesmael, 1845","ACCEPTED",1290806,1290806,51.7,5.85
"3","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,46.919998,11.9552
"4","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,40.32,-5.85
"5","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,38.189999,-5.02
"6","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,38.389999,-5
"7","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,38.400002,-4.3
"8","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,40.59,-4.13
"9","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,40.330002,-3.51
"10","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,40.709999,-4.07
"11","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,40.740002,-4.06
"12","Anisobas jugorum Heinrich, 1949","SYNONYM",1290807,1290806,38.91,-3.84
