"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,51.9,6.2
"2","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,58.3583,6.3325
"3","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,58.3608,6.2638
"4","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,63.06553,10.32196
"5","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,63.02938,10.4101
"6","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.91267,10.69143
"7","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,69.15156,29.1954
"8","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,62.57359,9.15164
"9","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.22676,11.57793
"10","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.33768,11.6911
"11","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,63.39647,10.66436
"12","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,62.60962,9.449
"13","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,62.6574,8.33075
"14","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.29494,10.40215
"15","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.77582,9.93973
"16","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.16622,10.3245
"17","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.25468,11.64487
"18","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.90947,10.68245
"19","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,63.34076,10.5739
"20","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.33641,11.69472
"21","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.66057,9.9655
"22","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,62.286418,7.361652
"23","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.450605,-1.474448
"24","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.449848,-1.323881
"25","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.359025,-1.175062
"26","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,54.2412,-4.403062
"27","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,59.11999,11.35952
"28","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.501698,-1.20471
"29","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.359969,-1.325304
"30","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,53.651473,-1.22232
"31","Basalys abrupta Thomson, 1858","ACCEPTED",4503748,4503748,52.310595,0.279576
