"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.60398,4.46419
"2","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.51825,4.69575
"3","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.54573,4.67216
"4","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.67485,7.0798
"5","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.54344,4.33834
"6","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.64757,4.03246
"7","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.61201,4.00666
"8","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.63255,4.81189
"9","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.43173,4.93893
"10","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,42.30139,9.14103
"11","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.38329,6.71271
"12","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,43.38503,6.70539
"13","Casinaria monticola Thomson, 1887","ACCEPTED",1287491,1287491,50.9333,7.1331
